"Year_int","Country","EU_membership_bad","EU_membership_not_beneficial"
2013,"GR",36.04,52.71
2013,"IE",15.54,20.44
2013,"IT",33.57,58.71
2013,"LU",14.82,19.71
2013,"NL",24.6,33.22
2013,"PT",39.84,46.9
2013,"SE",21.78,39.75
2014,"AT",36.12,NA
2014,"BE",20.16,NA
2014,"DE",19.64,NA
2014,"DK",22.92,NA
2014,"ES",25.92,NA
2014,"FI",34.04,NA
2014,"FR",36.02,NA
2014,"UK",29.43,NA
2014,"GR",36.26,NA
2014,"IE",17.7,NA
2014,"IT",36.18,NA
2014,"LU",13.12,NA
2014,"NL",24.01,NA
2014,"PT",36.91,NA
2014,"SE",24.42,NA
2015,"AT",32.23,49.33
2015,"BE",19.03,27.65
2015,"DE",18.93,32.35
2015,"DK",21.91,18.33
2015,"ES",25.4,32.48
2015,"FI",29.83,34.55
2015,"FR",30.84,37.23
2015,"UK",28.73,43.43
2015,"GR",32.17,42.35
2015,"IE",17.05,14.24
2015,"IT",34.75,51.14
2015,"LU",10.78,10.49
2015,"NL",18.88,28.77
2015,"PT",37.63,30.94
2015,"SE",22.15,34.67
2016,"AT",38.16,46.61
2016,"BE",24.1,27.55
2016,"DK",25.7,16.23
2016,"ES",28.13,33.26
2016,"FI",32.13,34.64
2016,"FR",33.13,38.3
2016,"UK",24.42,40.63
2016,"GR",39.32,53.73
2016,"IE",15.28,12.38
2016,"IT",38.44,53.64
2016,"LU",13.23,8.71
2016,"NL",20.83,21.27
2016,"PT",42.17,31.2
2016,"SE",21.75,34.26
2016,"DE",20.84,27.65
2017,"AT",33.38,43.51
2017,"BE",26.91,32.34
2017,"DK",22.63,13.38
2017,"ES",24.59,22.69
2017,"FI",32.21,30.11
2017,"FR",32.45,32.34
2017,"UK",23.47,37.26
2017,"GR",37.02,48.69
2017,"IE",12.79,7.86
2017,"IT",39.93,53.44
2017,"LU",10.61,8.33
2017,"NL",16.4,19.6
2017,"PT",32.05,16.32
2017,"SE",20.82,31.06
2017,"DE",14.5,15.26
2018,"AT",38.02,38.09
2018,"BE",20.04,21.56
2018,"DE",14.28,19.12
2018,"DK",18.47,9.77
2018,"ES",20.73,18.89
2018,"FI",25.86,26.89
2018,"FR",29.12,28.04
2018,"UK",23.88,37.2
2018,"GR",33.73,40.62
2018,"IE",10.33,4.92
2018,"IT",38.6,47.51
2018,"LU",9.24,6.82
2018,"NL",16.26,18.37
2018,"PT",25.13,13.49
2018,"SE",16.88,23.52
2019,"AT",14.97,30.65
2019,"BE",8.8,22.48
2019,"DE",5.26,17.29
2019,"DK",7.43,9.7
2019,"ES",6.48,18.51
2019,"FI",9.06,19.76
2019,"FR",12.35,28.09
2019,"UK",27.78,33.45
2019,"GR",15.42,35.85
2019,"IE",3.96,7
2019,"IT",18.57,47.11
2019,"LU",3.44,7.76
2019,"NL",5.34,14.86
2019,"PT",3.4,9.69
2019,"SE",7.81,21.21
2020,"AT",15.39,38.67
2020,"BE",5.2,15.92
2020,"DE",4.79,20.9
2020,"DK",10.26,15.24
2020,"ES",6.85,17.33
2020,"FI",13.88,28.65
2020,"FR",11.59,26.32
2020,"GR",13.48,32.63
2020,"IE",3.53,4.52
2020,"IT",14.91,41.68
2020,"LU",5.1,15.69
2020,"NL",5.06,17.79
2020,"PT",2.4,4.25
2020,"SE",12.06,33.84
2021,"AT",17.96,38.75
