"Country","Year","Trade balance of goods","FDI net balance","Ratio of migrant to native workers"
"BE",2009,16292.825155,42478.70716,0.1736
"DE",2009,196952.875614465,-44735.45342,0.1184
"DK",2009,11993.95686,-3148.15785,0.0876
"ES",2009,-64382.090791607,-2663.64194,0.1962
"FI",2009,2030.165698,-4963.47259,0.0378
"FR",2009,-76389.471909,-70132.26912,0.137
"GR",2009,-47301.813051,381.33316,0.1212
"IE",2009,54937.288299953,-900.1963,0.2396
"IT",2009,-8196.00199164502,-1198.87253,0.1074
"LU",2009,-6228.485462,18986.84852,0.8129
"NL",2009,49312.0307,12479.52678,0.148
"PT",2009,-27560.916824,402.17491,0.0942
"SE",2009,11167.468767,-17172.07878,0.1953
"UK",2009,-192426.494531,60744.42414,0.1635
"AT",2010,-5710.662059,-7009.97563,0.217
"BE",2010,-8100.60977184198,57007.19825,0.1796
"DE",2010,207070.756832922,-59807.82602,0.1197
"DK",2010,13492.449898,-10349.03291,0.0933
"ES",2010,-70598.098215849,2028.7069,0.1987
"FI",2010,1349.357692,-2808.34387,0.04
"FR",2010,-87520.463343,-34264.71535,0.1402
"GR",2010,-38866.947376,-1227.34407,0.1208
"IE",2010,55995.040610773,20455.73443,0.2386
"IT",2010,-40144.542234,-23507.03865,0.1157
"LU",2010,-6488.728538,15875.81137,0.8487
"NL",2010,52659.238599,-75542.64978,0.1418
"PT",2010,-28268.374945,12053.54474,0.0949
"SE",2010,9622.383394,-20632.75579,0.2068
"UK",2010,-205603.40462,10108.48622,0.1709
"AT",2011,-12838.39144,-11297.14296,0.2164
"BE",2011,-14012.356720788,34134.74571,0.1912
"DE",2011,222214.073761209,-10415.23866,0.108
"DK",2011,16704.845659,529.813680000001,0.1068
"ES",2011,-66851.058764557,-12784.96292,0.2008
"FI",2011,-5067.440162,-2461.21595,0.0451
"FR",2011,-127951.429981,-19773.0022,0.1448
"GR",2011,-33315.017258,-629.2856,0.1099
"IE",2011,55898.202034452,24709.63571,0.2424
"IT",2011,-35575.685315,-19343.49522,0.1245
"LU",2011,-9663.754493,-1872.64146,0.8938
"NL",2011,61680.7747988569,-10638.14112,0.1456
"PT",2011,-23335.315717,-7661.55091,0.0965
"SE",2011,9953.4724,-17388.66628,0.2159
"UK",2011,-200317.539733,-53386.97506,0.1845
"AT",2012,-10836.556977889,-9120.52426,0.2185
"BE",2012,-13288.486555242,-29870.46026,0.2
