"Country","Year","Trade balance of goods","FDI net balance","Ratio of migrant to native workers"
"LU",2008,-8117.298653,-4389.04457,0.7233
"LV",2008,-6482.11693283,1020.98363,0.1425
"MT",2008,-2112.315931,-1294.02629,0.0503
"NL",2008,50916.834176,-75268.02651,0.1476
"PL",2008,-38618.615419,10424.44921,0.0043
"PT",2008,-37307.50089,1408.55898,0.0931
"RO",2008,-34612.24807059,13215.50156,0.001
"SE",2008,14898.966439,6039.35611,0.1737
"SI",2008,-4732.619546,-190.00842,0.0904
"SK",2008,142800.255721,4317.91555,0.0083
"UK",2008,-223323.198928,-106026.84726,0.1641
"AT",2009,-5031.181208,-1730.0897,0.206
"BE",2009,16292.825155,42478.70716,0.1736
"BG",2009,-6838.291654,3480.23527,0.003
"CY",2009,-6582.448311,-63108.93138,0.2818
"CZ",2009,8034.785128,1977.3415,0.0284
"DE",2009,196952.875614465,-44735.45342,0.1184
"DK",2009,11993.95686,-3148.15785,0.0876
"EE",2009,-890.41632732,464.43835,0.1458
"ES",2009,-64382.090791607,-2663.64194,0.1962
"FI",2009,2030.165698,-4963.47259,0.0378
"FR",2009,-76389.471909,-70132.26912,0.137
"GR",2009,-47301.813051,381.33316,0.1212
"HR",2009,-10713.015711,1772.11932,0.1223
"HU",2009,5299.404,293.3913,0.02
"IE",2009,54937.288299953,-900.1963,0.2396
"IT",2009,-8196.00199164502,-1198.87253,0.1074
"LT",2009,-1844.293566,-1002.99649,0.0405
"LU",2009,-6228.485462,18986.84852,0.8129
"LV",2009,-2197.381704743,40.28656,0.1489
"MT",2009,-1753.847406,7354.8521,0.0197
"NL",2009,49312.0307,12479.52678,0.148
"PL",2009,-12928.531043,8232.96391,0.0038
"PT",2009,-27560.916824,402.17491,0.0942
"RO",2009,-13765.30589306,4761.70572,0.0011
"SE",2009,11167.468767,-17172.07878,0.1953
"SI",2009,-1496.415945,-689.8532,0.0952
"SK",2009,393.077304,-910.48603,0.0079
"UK",2009,-192426.494531,60744.42414,0.1635
"AT",2010,-5710.662059,-7009.97563,0.217
"BE",2010,-8100.60977184198,57007.19825,0.1796
"BG",2010,-4751.881064,1235.8861,0.0027
"CY",2010,-7138.264034,-442.218329999996,0.3334
"CZ",2010,6450.256058,4973.76808,0.0276
"DE",2010,207070.756832922,-59807.82602,0.1197
"DK",2010,13492.449898,-10349.03291,0.0933
"EE",2010,-385.203677,1341.41184,0.146
"ES",2010,-70598.098215849,2028.7069,0.1987
"FI",2010,1349.357692,-2808.34387,0.04
"FR",2010,-87520.463343,-34264.71535,0.1402
"GR",2010,-38866.947376,-1227.34407,0.1208
"HR",2010,-8256.328315,1072.86832,0.1183
"HU",2010,7316.642,1119.39836,0.0185
"IE",2010,55995.040610773,20455.73443,0.2386
"IT",2010,-40144.542234,-23507.03865,0.1157
"LT",2010,-2564.124761,977.29274,0.0393
"LU",2010,-6488.728538,15875.81137,0.8487
"LV",2010,-2292.48647,378.78537,0.1353
"MT",2010,-2015.420592,5819.35288,0.025
"NL",2010,52659.238599,-75542.64978,0.1418
"PL",2010,-17062.64183,6649.08964,0.0031
"PT",2010,-28268.374945,12053.54474,0.0949
"RO",2010,-12593.238299,3047.23692,0.0008
"SE",2010,9622.383394,-20632.75579,0.2068
"SI",2010,-2156.955691,123.45754,0.1035
"SK",2010,63857.949445321,823.63567,0.0063
"UK",2010,-205603.40462,10108.48622,0.1709
"AT",2011,-12838.39144,-11297.14296,0.2164
"BE",2011,-14012.356720788,34134.74571,0.1912
"BG",2011,-4328.391676,1653.18843,0.0026
"CY",2011,-6833.787466,-7003.13203,0.3472
"CZ",2011,11578.305726,2644.95165,0.0278
"DE",2011,222214.073761209,-10415.23866,0.108
"DK",2011,16704.845659,529.813680000001,0.1068
"EE",2011,-824.234734,2458.66511,0.146
"ES",2011,-66851.058764557,-12784.96292,0.2008
"FI",2011,-5067.440162,-2461.21595,0.0451
"FR",2011,-127951.429981,-19773.0022,0.1448
"GR",2011,-33315.017258,-629.2856,0.1099
"HR",2011,-9350.671562,1292.12062,0.1124
"HU",2011,9846.837,1744.66758,0.0198
"IE",2011,55898.202034452,24709.63571,0.2424
"IT",2011,-35575.685315,-19343.49522,0.1245
"LT",2011,-3732.639629,1049.52353,0.0384
"LU",2011,-9663.754493,-1872.64146,0.8938
"LV",2011,-3442.582548,1406.81582,0.1306
"MT",2011,-2117.244837,12176.77016,0.0201
"NL",2011,61680.7747988569,-10638.14112,0.1456
"PL",2011,-21086.456279,14898.69552,0.0026
"PT",2011,-23335.315717,-7661.55091,0.0965
"RO",2011,-13673.283281,2389.39328,0.0006
"SE",2011,9953.4724,-17388.66628,0.2159
"SI",2011,-2252.706195,889.09092,0.1045
"SK",2011,77402.586723927,2778.08731,NA
"UK",2011,-200317.539733,-53386.97506,0.1845
"AT",2012,-10836.556977889,-9120.52426,0.2185
"BE",2012,-13288.486555242,-29870.46026,0.2
"BG",2012,-6044.353607,1372.06808,0.0019
"CY",2012,-5550.916143,-5368.59716,0.3531
"CZ",2012,16695.91882,6193.90126,0.0298
"DE",2012,248898.496924673,-33983.36618,0.1136
"DK",2012,14778.500598,-6644.4737,0.1069
"EE",2012,-1909.151905,511.40063,0.139
"ES",2012,-40999.927699056,29678.31051,0.195
"FI",2012,-3114.531867,-3389.46465,0.0471
"FR",2012,-108214.685501,-19378.28122,0.1476
"GR",2012,-27353.280896,1062.19501,0.1043
"HR",2012,-8465.278881,1364.23389,0.1143
"HU",2012,8529.139746,2819.52001,0.0216
"IE",2012,47990.505990748,26337.09112,0.2478
"IT",2012,12424.734805,-7914.74173,0.1318
"LT",2012,-2584.977889,261.18664,0.0383
"LU",2012,-10557.987282,16221.3765,0.9335
"LV",2012,-3396.866134,918.67597,0.131
"MT",2012,-2249.950554,11583.33676,0.019
"NL",2012,51894.375011351,7077.91657,0.148
"PL",2012,-11826.512216,9522.53005,0.0025
"PT",2012,-14365.992692,16624.33798,0.0972
"RO",2012,-12355.388195,3312.82523,0.0008
"SE",2012,7892.71871443201,-13113.90963,0.2234
"SI",2012,-1302.546807,598.17627,0.0975
"SK",2012,78353.572198901,2973.3237,0.005
"UK",2012,-207911.257542,34746.23527,0.19
"AT",2013,-7092.127432896,-9851.43142,0.2277
"BE",2013,-9737.42096536499,-16788.63138,0.2039
"BG",2013,-4805.998589,1650.99846,0.0022
"CY",2013,-4277.973183931,-3922.10385,0.3268
"CZ",2013,18998.344022,-380.03344,0.031
"DE",2013,263635.982186447,-26753.47235,0.1202
"DK",2013,13217.989632,-6131.62984,0.1179
"EE",2013,-1902.065685,333.68214,0.1349
"ES",2013,-22144.972178645,14245.30181,0.1891
"FI",2013,-3141.61613,2201.44233,0.0465
"FR",2013,-103265.855737,894.003580000001,0.1492
"GR",2013,-24886.475792,3603.82495,0.1011
"HR",2013,-9190.375025,977.12408,0.1191
"HU",2013,8718.735121,1642.8487,0.0217
"IE",2013,44356.534476239,21433.03009,0.2509
"IT",2013,38758.749056,-861.92813,0.1402
"LT",2013,-2213.48198,441.95498,0.0356
"LU",2013,-10108.074186,-23321.6017,0.9544
"LV",2013,-3454.243901,490.07238,0.1211
"MT",2013,-2319.121519,9345.781,0.0308
"NL",2013,62049.375986063,-18603.49293,0.1474
"PL",2013,-1765.874901,4076.6685,0.0031
"PT",2013,-12919.761046,7449.44218,0.1027
"RO",2013,-7570.750078,3883.13965,0.001
"SE",2013,6905.87458079401,-29060.31192,0.2343
"SI",2013,-746.700646,62.59652,0.1036
"SK",2013,83502.454112346,-291.26284,0.0066
"UK",2013,-109180.674549,11190.31986,0.1928
"AT",2014,-2733.77885728,5310.34004,0.2418
"BE",2014,-9220.49528510602,-13534.73357,0.2039
"BG",2014,-5353.502138,193.93643,0.0037
"CY",2014,-4805.489014506,-14453.23441,0.2937
"CZ",2014,21053.990191,3872.47183,0.0332
"DE",2014,283323.190453293,-87185.97373,0.1293
"DK",2014,11181.093277,-3575.07568,0.13
"EE",2014,-2719.089715,650.33559,0.1263
"ES",2014,-33107.1424025779,-13156.11175,0.1826
"FI",2014,-2434.421145,16826.32152,0.058
"FR",2014,-93215.911003,-56362.34772,0.1448
"GR",2014,-26425.264901,-332.30877,0.1025
"HR",2014,-9062.97353,909.87582,0.1246
"HU",2014,8357.805771,4113.16221,0.0199
"IE",2014,40465.812045254,7013.13884,0.2593
"IT",2014,55446.174541,-3107.49496,0.1472
"LT",2014,-2823.07059,-192.37973,0.0328
"LU",2014,-9059.129393,-23360.30184,0.9667
"LV",2014,-3345.142172419,354.70886,0.1144
"MT",2014,-3474.420279,8924.16271,0.0416
"NL",2014,67519.2186368151,-14401.44541,0.1464
"PL",2014,-2210.498172,11370.62773,0.0035
"PT",2014,-14561.505306,7830.18171,0.1017
"RO",2014,-8011.180065,3589.66695,0.001
"SE",2014,2419.25444838101,-3987.15017,0.2472
"SI",2014,472.796643,775.68661,0.1136
"SK",2014,84034.325898,-555.63395,0.0067
"UK",2014,-183198.880326,175976.17363,0.2024
"AT",2015,-2652.12293559998,-5540.19979,0.2574
"BE",2015,-5182.01782447998,-26867.85754,0.2157
"BG",2015,-3486.370231,2079.35636,0.0032
"CY",2015,-3779.9841412,-15334.33091,0.2973
"CZ",2015,16477.937037,-2022.33854,0.0366
"DE",2015,270964.394944633,-68440.3728,0.1474
"DK",2015,9291.455401,-5803.88263,0.137
"EE",2015,-1824.239208,-165.99763,0.1242
"ES",2015,-27749.598930525,-32264.50683,0.1843
"FI",2015,-492.076524,18192.75713,0.0636
